X = -43.1    , Y = 69.5     , Z = 129.4
X = -44.5    , Y = 70.7     , Z = 122.9
X = -46.8    , Y = 72.2     , Z = 116.8
X = -49.9    , Y = 74.5     , Z = 110.8
X = -52.2    , Y = 76.4     , Z = 107.1
X = -57.1    , Y = 82.3     , Z = 100.3
X = -59.9    , Y = 88.8     , Z = 96.3
X = -61.2    , Y = 96.2     , Z = 93.9
X = -62.1    , Y = 107.2    , Z = 93.1
X = -62.4    , Y = 111.0    , Z = 93.5
X = -62.5    , Y = 112.2    , Z = 93.7
X = -35.0    , Y = 59.7     , Z = 88.3
X = -44.8    , Y = 65.7     , Z = 91.6
X = -51.0    , Y = 72.7     , Z = 97.0
X = -55.9    , Y = 81.4     , Z = 106.9
X = -58.3    , Y = 86.0     , Z = 116.2
X = -60.1    , Y = 87.5     , Z = 124.6
X = -63.9    , Y = 82.4     , Z = 144.0
X = -62.6    , Y = 75.9     , Z = 155.6
X = -57.0    , Y = 67.8     , Z = 166.3
X = -45.3    , Y = 58.4     , Z = 174.6
X = -33.0    , Y = 52.9     , Z = 177.1
X = -18.5    , Y = 50.1     , Z = 175.3
X = 8.4      , Y = 55.5     , Z = 154.5
X = 13.8     , Y = 59.8     , Z = 135.9
X = 12.4     , Y = 60.4     , Z = 121.3
X = 9.3      , Y = 59.8     , Z = 112.9
X = 2.8      , Y = 58.1     , Z = 103.0
X = -0.8     , Y = 57.3     , Z = 99.3
X = -9.4     , Y = 55.9     , Z = 93.2
X = -21.1    , Y = 55.9     , Z = 88.9
X = -32.2    , Y = 58.5     , Z = 88.0
X = -35.0    , Y = 59.7     , Z = 88.3
X = 35.0     , Y = 59.7     , Z = 88.3
X = 44.8     , Y = 65.7     , Z = 91.6
X = 51.0     , Y = 72.7     , Z = 97.0
X = 55.9     , Y = 81.4     , Z = 106.9
X = 58.3     , Y = 86.0     , Z = 116.2
X = 60.1     , Y = 87.5     , Z = 124.6
X = 63.9     , Y = 82.4     , Z = 144.0
X = 62.6     , Y = 75.9     , Z = 155.6
X = 57.0     , Y = 67.8     , Z = 166.3
X = 45.3     , Y = 58.4     , Z = 174.6
X = 33.0     , Y = 52.9     , Z = 177.1
X = 18.5     , Y = 50.1     , Z = 175.3
X = -8.4     , Y = 55.5     , Z = 154.5
X = -13.8    , Y = 59.8     , Z = 135.9
X = -12.4    , Y = 60.4     , Z = 121.3
X = -9.3     , Y = 59.8     , Z = 112.9
X = -2.8     , Y = 58.1     , Z = 103.0
X = 0.8      , Y = 57.3     , Z = 99.3
X = 9.4      , Y = 55.9     , Z = 93.2
X = 21.1     , Y = 55.9     , Z = 88.9
X = 32.2     , Y = 58.5     , Z = 88.0
X = 35.0     , Y = 59.7     , Z = 88.3
X = 62.5     , Y = 112.2    , Z = 93.7
X = 63.3     , Y = 122.3    , Z = 96.6
X = 63.9     , Y = 129.3    , Z = 100.2
X = 64.8     , Y = 136.4    , Z = 105.7
X = 66.3     , Y = 143.1    , Z = 113.3
X = 69.2     , Y = 147.8    , Z = 121.8
X = 73.6     , Y = 150.3    , Z = 129.0
X = 80.5     , Y = 150.9    , Z = 136.9
X = 88.5     , Y = 148.7    , Z = 145.8
X = 93.1     , Y = 144.7    , Z = 154.4
X = 95.2     , Y = 139.6    , Z = 162.3
X = 95.9     , Y = 134.6    , Z = 168.0
X = 96.1     , Y = 128.0    , Z = 173.6
X = 94.8     , Y = 116.8    , Z = 179.8
X = 90.7     , Y = 102.6    , Z = 183.5
X = 86.5     , Y = 93.5     , Z = 183.6
X = 80.1     , Y = 84.1     , Z = 181.7
X = 73.5     , Y = 77.3     , Z = 178.3
X = 66.9     , Y = 72.6     , Z = 173.9
X = 58.6     , Y = 68.7     , Z = 166.6
X = 51.5     , Y = 67.2     , Z = 158.5
X = 45.6     , Y = 67.4     , Z = 148.5
X = 42.9     , Y = 68.4     , Z = 137.6
X = 43.1     , Y = 69.5     , Z = 129.4
X = 44.5     , Y = 70.7     , Z = 122.9
X = 46.8     , Y = 72.2     , Z = 116.8
X = 49.9     , Y = 74.5     , Z = 110.8
X = 52.2     , Y = 76.4     , Z = 107.1
X = 57.1     , Y = 82.3     , Z = 100.3
X = 59.9     , Y = 88.8     , Z = 96.3
X = 61.2     , Y = 96.2     , Z = 93.9
X = 62.1     , Y = 107.2    , Z = 93.1
X = 62.4     , Y = 111.0    , Z = 93.5
X = 62.5     , Y = 112.2    , Z = 93.7
X = -96.1    , Y = 154.5    , Z = 41.2
X = -89.4    , Y = 167.6    , Z = 44.5
X = -83.7    , Y = 174.8    , Z = 48.4
X = -77.5    , Y = 181.2    , Z = 55.0
X = -73.6    , Y = 185.1    , Z = 62.7
X = -71.5    , Y = 187.0    , Z = 69.9
X = -69.6    , Y = 187.4    , Z = 81.0
X = -68.6    , Y = 185.9    , Z = 89.5
X = -68.1    , Y = 182.8    , Z = 98.0
X = -68.1    , Y = 177.8    , Z = 106.1
X = -68.4    , Y = 170.6    , Z = 113.7
X = -69.2    , Y = 161.4    , Z = 119.9
X = -70.3    , Y = 151.1    , Z = 123.8
X = -70.6    , Y = 139.1    , Z = 125.3
X = -69.4    , Y = 128.4    , Z = 124.3
X = -66.6    , Y = 117.5    , Z = 120.6
X = -64.3    , Y = 109.5    , Z = 115.7
X = -62.3    , Y = 102.4    , Z = 109.0
X = -61.6    , Y = 98.7     , Z = 104.2
X = -61.1    , Y = 95.4     , Z = 98.5
X = -61.0    , Y = 92.4     , Z = 91.0
X = -61.3    , Y = 91.0     , Z = 85.3
X = -62.0    , Y = 90.2     , Z = 79.2
X = -63.3    , Y = 90.3     , Z = 71.7
X = -65.2    , Y = 91.3     , Z = 65.0
X = -69.8    , Y = 94.6     , Z = 56.1
X = -75.0    , Y = 98.4     , Z = 50.5
X = -79.7    , Y = 102.2    , Z = 47.1
X = -84.6    , Y = 106.8    , Z = 44.5
X = -92.3    , Y = 116.9    , Z = 41.4
X = -94.6    , Y = 121.5    , Z = 40.7
X = -96.1    , Y = 154.5    , Z = 41.2
X = -19.1    , Y = 39.8     , Z = 62.0
X = -25.9    , Y = 35.0     , Z = 52.3
X = -35.5    , Y = 32.2     , Z = 44.2
X = -47.7    , Y = 31.0     , Z = 38.8
X = -57.2    , Y = 31.4     , Z = 37.2
X = -68.4    , Y = 33.8     , Z = 37.3
X = -78.9    , Y = 39.0     , Z = 38.8
X = -88.2    , Y = 49.0     , Z = 39.2
X = -92.9    , Y = 60.5     , Z = 39.3
X = -93.0    , Y = 77.1     , Z = 39.9
X = -89.9    , Y = 87.3     , Z = 41.4
X = -82.8    , Y = 100.4    , Z = 45.1
X = -75.2    , Y = 110.2    , Z = 51.2
X = -68.3    , Y = 117.4    , Z = 62.4
X = -65.0    , Y = 119.8    , Z = 75.4
X = -63.4    , Y = 118.3    , Z = 87.5
X = -62.6    , Y = 111.7    , Z = 101.9
X = -62.8    , Y = 102.6    , Z = 111.8
X = -59.9    , Y = 88.8     , Z = 119.7
X = -54.6    , Y = 80.0     , Z = 121.9
X = -49.7    , Y = 74.8     , Z = 121.7
X = -42.7    , Y = 69.5     , Z = 119.8
X = -36.1    , Y = 66.1     , Z = 116.4
X = -29.9    , Y = 63.7     , Z = 111.9
X = -23.7    , Y = 61.2     , Z = 105.4
X = -17.7    , Y = 57.9     , Z = 96.0
X = -14.7    , Y = 53.4     , Z = 85.7
X = -19.1    , Y = 39.8     , Z = 62.0
X = 0.0      , Y = 25.3     , Z = 38.1
X = 2.6      , Y = 25.3     , Z = 38.2
X = 5.2      , Y = 25.6     , Z = 38.4
X = 13.1     , Y = 26.8     , Z = 39.8
X = 20.3     , Y = 28.8     , Z = 42.3
X = 27.4     , Y = 32.0     , Z = 46.4
X = 31.4     , Y = 34.5     , Z = 49.6
X = 36.0     , Y = 38.9     , Z = 54.8
X = 39.1     , Y = 43.7     , Z = 60.0
X = 41.4     , Y = 50.4     , Z = 67.6
X = 41.7     , Y = 55.1     , Z = 74.4
X = 39.9     , Y = 60.0     , Z = 84.8
X = 35.4     , Y = 62.5     , Z = 95.5
X = 30.6     , Y = 62.7     , Z = 103.0
X = 26.0     , Y = 62.2     , Z = 108.4
X = 19.7     , Y = 61.3     , Z = 113.8
X = 13.4     , Y = 60.5     , Z = 117.6
X = 5.7      , Y = 59.8     , Z = 120.1
X = -1.0     , Y = 59.6     , Z = 120.6
X = -9.7     , Y = 60.1     , Z = 119.0
X = -17.2    , Y = 61.0     , Z = 115.5
X = -26.7    , Y = 62.3     , Z = 107.7
X = -31.0    , Y = 62.7     , Z = 102.5
X = -34.5    , Y = 62.6     , Z = 97.1
X = -37.7    , Y = 61.7     , Z = 90.7
X = -40.7    , Y = 58.8     , Z = 81.7
X = -41.7    , Y = 55.2     , Z = 74.5
X = -41.3    , Y = 49.8     , Z = 66.9
X = -39.6    , Y = 44.7     , Z = 61.1
X = -36.3    , Y = 39.2     , Z = 55.1
X = -25.2    , Y = 30.8     , Z = 44.9
X = -12.0    , Y = 26.6     , Z = 39.5
X = -0.3     , Y = 25.3     , Z = 38.1
X = 0.0      , Y = 25.3     , Z = 38.1
X = 19.1     , Y = 39.8     , Z = 62.0
X = 25.9     , Y = 35.0     , Z = 52.3
X = 35.5     , Y = 32.2     , Z = 44.2
X = 47.7     , Y = 31.0     , Z = 38.8
X = 57.2     , Y = 31.4     , Z = 37.2
X = 68.4     , Y = 33.8     , Z = 37.3
X = 78.9     , Y = 39.0     , Z = 38.8
X = 88.2     , Y = 49.0     , Z = 39.2
X = 92.9     , Y = 60.5     , Z = 39.3
X = 93.0     , Y = 77.1     , Z = 39.9
X = 89.9     , Y = 87.3     , Z = 41.4
X = 82.8     , Y = 100.4    , Z = 45.1
X = 75.2     , Y = 110.2    , Z = 51.2
X = 68.3     , Y = 117.4    , Z = 62.4
X = 65.0     , Y = 119.8    , Z = 75.4
X = 63.4     , Y = 118.3    , Z = 87.5
X = 62.6     , Y = 111.7    , Z = 101.9
X = 62.8     , Y = 102.6    , Z = 111.8
X = 59.9     , Y = 88.8     , Z = 119.7
X = 54.6     , Y = 80.0     , Z = 121.9
X = 49.7     , Y = 74.8     , Z = 121.7
X = 42.7     , Y = 69.5     , Z = 119.8
X = 36.1     , Y = 66.1     , Z = 116.4
X = 29.9     , Y = 63.7     , Z = 111.9
X = 23.7     , Y = 61.2     , Z = 105.4
X = 17.7     , Y = 57.9     , Z = 96.0
X = 14.7     , Y = 53.4     , Z = 85.7
X = 19.1     , Y = 39.8     , Z = 62.0
X = 96.1     , Y = 154.5    , Z = 41.2
X = 89.4     , Y = 167.6    , Z = 44.5
X = 83.7     , Y = 174.8    , Z = 48.4
X = 77.5     , Y = 181.2    , Z = 55.0
X = 73.6     , Y = 185.1    , Z = 62.7
X = 71.5     , Y = 187.0    , Z = 69.9
X = 69.6     , Y = 187.4    , Z = 81.0
X = 68.6     , Y = 185.9    , Z = 89.5
X = 68.1     , Y = 182.8    , Z = 98.0
X = 68.1     , Y = 177.8    , Z = 106.1
X = 68.4     , Y = 170.6    , Z = 113.7
X = 69.2     , Y = 161.4    , Z = 119.9
X = 70.3     , Y = 151.1    , Z = 123.8
X = 70.6     , Y = 139.1    , Z = 125.3
X = 69.4     , Y = 128.4    , Z = 124.3
X = 66.6     , Y = 117.5    , Z = 120.6
X = 64.3     , Y = 109.5    , Z = 115.7
X = 62.3     , Y = 102.4    , Z = 109.0
X = 61.6     , Y = 98.7     , Z = 104.2
X = 61.1     , Y = 95.4     , Z = 98.5
X = 61.0     , Y = 92.4     , Z = 91.0
X = 61.3     , Y = 91.0     , Z = 85.3
X = 62.0     , Y = 90.2     , Z = 79.2
X = 63.3     , Y = 90.3     , Z = 71.7
X = 65.2     , Y = 91.3     , Z = 65.0
X = 69.8     , Y = 94.6     , Z = 56.1
X = 75.0     , Y = 98.4     , Z = 50.5
X = 79.7     , Y = 102.2    , Z = 47.1
X = 84.6     , Y = 106.8    , Z = 44.5
X = 92.3     , Y = 116.9    , Z = 41.4
X = 94.6     , Y = 121.5    , Z = 40.7
X = 96.1     , Y = 154.5    , Z = 41.2
X = -13.4    , Y = 8.3      , Z = -15.2
X = -23.2    , Y = 7.6      , Z = -18.9
X = -32.6    , Y = 7.2      , Z = -20.5
X = -39.7    , Y = 7.2      , Z = -20.6
X = -44.1    , Y = 7.3      , Z = -20.2
X = -49.5    , Y = 7.5      , Z = -19.1
X = -57.6    , Y = 8.1      , Z = -16.3
X = -63.7    , Y = 8.8      , Z = -13.2
X = -69.0    , Y = 9.6      , Z = -9.5
X = -75.5    , Y = 11.1     , Z = -3.5
X = -80.9    , Y = 13.4     , Z = 3.9
X = -84.2    , Y = 16.4     , Z = 11.4
X = -85.7    , Y = 19.9     , Z = 18.5
X = -85.6    , Y = 23.0     , Z = 23.6
X = -84.2    , Y = 27.5     , Z = 29.4
X = -80.8    , Y = 33.6     , Z = 35.1
X = -73.9    , Y = 41.7     , Z = 41.7
X = -68.6    , Y = 45.7     , Z = 45.9
X = -60.5    , Y = 48.6     , Z = 52.3
X = -53.8    , Y = 48.8     , Z = 57.2
X = -46.9    , Y = 48.0     , Z = 61.2
X = -39.6    , Y = 46.9     , Z = 64.0
X = -31.8    , Y = 45.2     , Z = 65.6
X = -22.4    , Y = 42.8     , Z = 65.7
X = -15.0    , Y = 40.6     , Z = 64.2
X = -6.6     , Y = 37.5     , Z = 60.8
X = 1.0      , Y = 33.9     , Z = 55.5
X = 4.7      , Y = 31.9     , Z = 51.6
X = 8.2      , Y = 29.5     , Z = 46.4
X = 11.8     , Y = 26.0     , Z = 38.3
X = 13.5     , Y = 22.6     , Z = 30.0
X = 13.5     , Y = 19.3     , Z = 21.9
X = 11.5     , Y = 15.8     , Z = 12.4
X = 5.9      , Y = 12.2     , Z = 1.2
X = -0.7     , Y = 10.4     , Z = -6.4
X = -7.9     , Y = 9.0      , Z = -12.1
X = -13.4    , Y = 8.3      , Z = -15.2
X = 13.4     , Y = 8.3      , Z = -15.2
X = 23.2     , Y = 7.6      , Z = -18.9
X = 32.6     , Y = 7.2      , Z = -20.5
X = 39.7     , Y = 7.2      , Z = -20.6
X = 44.1     , Y = 7.3      , Z = -20.2
X = 49.5     , Y = 7.5      , Z = -19.1
X = 57.6     , Y = 8.1      , Z = -16.3
X = 63.7     , Y = 8.8      , Z = -13.2
X = 69.0     , Y = 9.6      , Z = -9.5
X = 75.5     , Y = 11.1     , Z = -3.5
X = 80.9     , Y = 13.4     , Z = 3.9
X = 84.2     , Y = 16.4     , Z = 11.4
X = 85.7     , Y = 19.9     , Z = 18.5
X = 85.6     , Y = 23.0     , Z = 23.6
X = 84.2     , Y = 27.5     , Z = 29.4
X = 80.8     , Y = 33.6     , Z = 35.1
X = 73.9     , Y = 41.7     , Z = 41.7
X = 68.6     , Y = 45.7     , Z = 45.9
X = 60.5     , Y = 48.6     , Z = 52.3
X = 53.8     , Y = 48.8     , Z = 57.2
X = 46.9     , Y = 48.0     , Z = 61.2
X = 39.6     , Y = 46.9     , Z = 64.0
X = 31.8     , Y = 45.2     , Z = 65.6
X = 22.4     , Y = 42.8     , Z = 65.7
X = 15.0     , Y = 40.6     , Z = 64.2
X = 6.6      , Y = 37.5     , Z = 60.8
X = -1.0     , Y = 33.9     , Z = 55.5
X = -4.7     , Y = 31.9     , Z = 51.6
X = -8.2     , Y = 29.5     , Z = 46.4
X = -11.8    , Y = 26.0     , Z = 38.3
X = -13.5    , Y = 22.6     , Z = 30.0
X = -13.5    , Y = 19.3     , Z = 21.9
X = -11.5    , Y = 15.8     , Z = 12.4
X = -5.9     , Y = 12.2     , Z = 1.2
X = 0.7      , Y = 10.4     , Z = -6.4
X = 7.9      , Y = 9.0      , Z = -12.1
X = 13.4     , Y = 8.3      , Z = -15.2
X = 0.0      , Y = 1.6      , Z = -78.0
X = 11.8     , Y = 1.6      , Z = -76.6
X = 23.7     , Y = 1.8      , Z = -72.0
X = 35.3     , Y = 2.2      , Z = -63.2
X = 44.3     , Y = 3.1      , Z = -50.4
X = 48.0     , Y = 4.3      , Z = -39.2
X = 48.8     , Y = 5.8      , Z = -28.7
X = 47.6     , Y = 7.2      , Z = -20.6
X = 44.4     , Y = 9.1      , Z = -11.6
X = 39.5     , Y = 11.0     , Z = -3.8
X = 33.5     , Y = 12.8     , Z = 2.5
X = 29.4     , Y = 13.9     , Z = 5.5
